dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-01-10,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,3,1
2023-03-03,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-03-04,ABC18575,PR,Produto Z,LOJA,PROMOCAO,263.0,0,21,0,16,0,5,2,1
2023-06-22,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-04-06,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-05-05,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-04-30,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,0,1
2023-05-04,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-04-03,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,4,1
2023-01-07,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,0,1
2023-07-19,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-03-07,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-04-01,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-04-29,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-05-13,ABC18575,PR,Produto Z,LOJA,REGULAR,269.9,1,28,0,22,0,6,2,1
2023-05-27,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,14,0,12,0,2,4,1
2023-02-03,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,3,1
2023-05-10,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-01-11,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,3,1
2023-05-24,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,14,0,12,0,2,4,1
2023-04-20,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-01-03,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-05-21,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,14,0,12,0,2,4,1
2023-03-12,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-02-05,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,2,1
2023-05-07,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-07-22,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-04-02,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,4,1
2023-02-22,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-06-18,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-03-29,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,5,1
2023-07-17,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-04-22,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-07-08,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-04-05,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-02-28,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-01-06,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-01-27,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,1,1
2023-04-26,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-07-05,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-06-21,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-05-02,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,0,1
2023-03-16,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-07-05,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,1,1
2023-03-30,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-03-03,ABC18575,PR,Produto Z,LOJA,PROMOCAO,263.0,0,21,0,16,0,5,2,1
2023-03-18,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-05-17,ABC18575,PR,Produto Z,LOJA,PROMOCAO,266.0,0,14,0,12,0,2,2,1
2023-05-12,ABC18575,PR,Produto X,LOJA,PROMOCAO,124.9,1,22,6,18,4,6,5,1
2023-06-24,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-02-26,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-07-08,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-02-14,ABC18575,PR,Produto Z,LOJA,PROMOCAO,263.0,0,21,0,16,0,5,2,1
2023-03-29,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-01-17,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,3,1
2023-03-06,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-07-01,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-02-07,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,0,1
2023-06-01,ABC18575,PR,Produto X,LOJA,PROMOCAO,104.0,0,15,0,12,0,3,4,1
2023-04-10,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,3,1
2023-01-18,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-01-26,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,1,1
2023-06-15,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
